"","1","2","3","4","5","6","7","8","9","10"
"A","0.874","0.886","1.025","0.912","0.05","0.043","1.298","1.143","0.217","0.199"
"B","0.913","0.955","1.067","1.064","0.047","0.04","2.078","1.463","0.198","0.217"
"C","0.605","0.621","0.729","0.635","0.03","0.028","1.747","1.331","0.154","0.153"
"D","0.585","0.612","0.704","0.639","0.029","0.025","1.216","0.983","0.15","0.147"
"E","0.3","0.318","0.364","0.334","0.015","0.006","1.081","0.816","0.075","0.092"
"F","0.296","0.309","0.352","0.321","0.014","0.016","1.227","1.037","0.074","0.074"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","T","CP","RT","A","","","","","",""
"1","0","1","1","0.217","","","","","",""
"2","0","1","1","0.198","","","","","",""
"3","0","1","2","0.154","","","","","",""
"4","0","1","2","0.15","","","","","",""
"5","0","1","3","0.075","","","","","",""
"6","0","1","3","0.074","","","","","",""
"7","10","5","1","0.199","","","","","",""
"8","10","5","1","0.217","","","","","",""
"9","10","5","2","0.153","","","","","",""
"10","10","5","2","0.147","","","","","",""
"11","10","5","3","0.092","","","","","",""
"12","10","5","3","0.074","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
